brand,price_pro_formula,price_ref_formula,duty,price_target_formula,discount,set_val,postage,exchange_rate
Marni,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Marni M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Stuart Weitzman,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Thom browne,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.3,0.09,0,1
Thom browne M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.3,0.09,0,1
CHURCHS,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
CHURCHS M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
ETRO,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
ETRO M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
ZANELLATO,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
ZANELLATO M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
TORY BURCH,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Marcelo Burlon,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Marcelo Burlon M ,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Marcelo Burlon County of Milan M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
HERNO,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
HERNO M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Stone Island M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.45,0.09,0,1
MARC JACOBS,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
MARC JACOBS M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
SEE BY CHLOE,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0,0.2,0,1
BRUNELLO CUCINELLI,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
BRUNELLO CUCINELLI M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
CÉLINE,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.1,0.09,0,1
Christian Dior,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.05,0.09,0,1
Christian Dior M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.05,0.09,0,1
MARNI,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
MARNI M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
THOM BROWNE,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.3,0.09,0,1
"THOM BROWNE M
","ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.3,0.09,0,1
"MARC JACOBS
MARC JACOBS","ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
STUART WEITZMAN,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0,0.2,0,1
