brand,price_pro_formula,price_ref_formula,duty,price_target_formula,discount,set_val,postage,exchange_rate
GUCCI,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
GUCCI M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
MOSCHINO,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
MOSCHINO M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
GOLDEN GOOSE,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
GOLDEN GOOSE M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
JIMMY CHOO,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
JIMMY CHOO M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
SELF PORTRAIT,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
SELF PORTRAIT M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
BALENCIAGA,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.4,0.09,0,1
BALENCIAGA M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.4,0.09,0,1
ALEXANDER McQUEEN ,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.3,0.09,0,1
ALEXANDER McQUEEN M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.3,0.09,0,1
BURBERRY,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
BURBERRY M  ,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
MANOLO BLAHNIK,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.45,0.09,0,1
LOEWE,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.1,0.09,0,1
LOEWE M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.1,0.09,0,1
Y3,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Y3 M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
OFF WHITE,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
OFF WHITE M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
CHLOE,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.3,0.09,0,1
JIL SANDER,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
JIL SANDER M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
MAISON KITSUNÉ ,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
MAISON KITSUNÉ M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
SERGIO ROSSI,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
BALMAIN,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
BALMAIN M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
MAX MARA,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.55,0.09,0,1
SPORT MAX,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.55,0.09,0,1
VERSACE,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
VERSACE M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Versus,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Versus M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Tods,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Tods M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Philippe Model,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Philippe Model M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
MAISON MARGIELA,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
