before,SEQ,after,,
MOSCHINO CAPSULE,24000,Moschino,,
MOSCHINO COUTURE,23700,Moschino,,
MSGM,2400,MSGM,,
N°21,5000,N21 numero ventuno,,
N21,23200,N21 numero ventuno,,
NEIL BARRETT,7600,NeIL Barrett,,
NEW BALANCE,7900,New Balance,,
NEW ERA,21400,New Era,,
NIKE,2200,Nike,,
Nina Ricci,5500,NINA RICCI,,
Nº21,9000,N21 numero ventuno,,
OFF WHITE,6600,Off-White,,
Off-White,6100,Off-White,,
PATAGONIA,17700,Patagonia,,
Paul Smith,8800,Paul Smith,,
PHILIPP PLEIN ,10100,PHILIPP PLEIN,,
PHILIPP PLEIN JUNIOR,15700,PHILIPP PLEIN,,
Philippe Model,2300,PHILIPPE MODEL PARIS,,
PIERRE BALMAIN,17800,PIERRE BALMAIN,,
Pierre Hardy ,10900,Pierre Hardy,,
POLO RALPH LAUREN,17500,POLO RALPH LAUREN,,
PRADA,6900,PRADA,,
Proenza Schouler ,11400,Proenza Schouler,,
PUMA SELECT,8400,PUMA,,
R13,18900,R13,,
RAF SIMONS,8200,RAF SIMONS,,
RAG&BONE,21300,rag & bone,,
Red Valentino,3600,RED VALENTINO,,
RED(V),24600,RED VALENTINO,,
REEBOK CLASSICS,8300,Reebok,,
RICK OWENS,7100,RICK OWENS,,
RICK OWENS DRK SHDW,21800,RICK OWENS,,
Roberto Cavalli ,11100,Roberto Cavalli,,
ROGER VIVIER,18200,Roger Vivier,,
sacai ,11700,sacai,,
SAINT LAURENT,1300,Saint Laurent,,
SALVATORE FERRAGAMO,2100,Salvatore Ferragamo,,
SANTONI,18800,SANTONI,,
SAUCONY,8600,SAUCONY,,
SEE BY CHLOE,3000,See by Chloe,,
SEE BY CHLOÉ,24300,See by Chloe,,
SELF PORTRAIT,6800,SELF PORTRAIT,,
SELF-PORTRAIT,18200,SELF PORTRAIT,,
SERGIO ROSSI,15800,Sergio Rossi,,
SOPHIA WEBSTER,20100,SOPHIA WEBSTER,,
SOPHIE HULME ,9500,SOPHIE HULME,,
SPORT MAX ,11000,SPORTMAX,,
SPORTMAX,18600,SPORTMAX,,
STELLA MCCARTNEY,1500,Stella McCartney,,
STELLA MCCARTNEY UNDERWEAR,18500,Stella McCartney,,
STONE ISLAND,21600,STONE ISLAND,,
Stuart Weitzman ,13200,Stuart Weitzman,,
T by Alexander Wang,14700,T by Alexander Wang,,
The Row,14800,The Row,,
Theory,14100,Theory,,
