keyword,season 1,season 2
○,,
Carry Over,,定番/
EXCLUSIVE,,大人気 
Fall Winter 18/19,2018-19AW,aw18/
Fall Winter 19/20,2019-20AW,aw19/
Spring Summer 19,2019 SS,SS19/
Spring Summer 20,2020 SS,ss20/
セール1,,VIPセール/
セール2,,【VIPセール】
セール3,,VIP SALE/
セール4,,VIP SALE★
セール5,,SALE★
セール6,,値下げ★
セール7,,セール★
セール8,,vip sale★
